release_id,cover_url
107334,https://i.discogs.com/wWM-XJ5BFWpvuXJlRuDS5kndeckT9Hn0LR0JV9vZfFg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNzMz/NC0xMzgwMTAwMTM0/LTYxMTguanBlZw.jpeg
6120470,https://i.discogs.com/5GyLQP0pQHoFV6APDu57MfV837thxe3j_8QUv3p2Aak/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYxMjA0/NzAtMTQxMTU2OTY3/Mi04NzcyLmpwZWc.jpeg
305965,https://i.discogs.com/G2kGNtm-APhU0DCzs2n9Nw3ByzA0NbFH5qVec8weBNI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwNTk2/NS0xMDk4Mjk5MjE1/LmpwZw.jpeg
4856180,https://i.discogs.com/oApLHF0hPNuesZQoCIqP9mU6vpmmsyxxdyu6uTekc6I/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ4NTYx/ODAtMTQ3MzI3NzUy/NC03NjI5LmpwZWc.jpeg
6031941,https://i.discogs.com/pAGQ74hjm6PhAsNa2ZOSxBCvNBZx6OIiKZuC2Z78iQY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwMzE5/NDEtMTY3NzMzNzA1/NS0zNjY1LmpwZWc.jpeg
6788521,https://i.discogs.com/sHQgpvxr8zksBz4esZP8lTB62f--89WfkDVIq-chIUc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY3ODg1/MjEtMTUxNTY3NDQ0/Ni00OTUxLmpwZWc.jpeg
8330016,https://i.discogs.com/mI53aCYEnRj0G2C1jAWanIMguhytYJNlCxSaLB0MzdU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTgzMzAw/MTYtMTUxNjAzMzAy/Ny0yNjU3LmpwZWc.jpeg
5950694,https://i.discogs.com/2gAXh3jKcR-OsBMr01Z8rZOrht6GzsCCLhRJxg4NsIU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU5NTA2/OTQtMTQwNzE3NjAx/MC02NjIzLmpwZWc.jpeg
140707,https://i.discogs.com/EU-0AbO_KFzOYQc7ttBRISo2YbmVKgJPPOH7hR-IFwI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE0MDcw/Ny0xNjgyMjc1NTgx/LTk4MTcuanBlZw.jpeg
44528,https://i.discogs.com/rLqKTfcLOpyjHea_W0Cl-yt_SofMj49SqXmdtGJxh3U/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0NTI4/LTAwMS5qcGc.jpeg
15347551,https://i.discogs.com/kpAyqyYzTqRDs-c0vSGP_GBEoM0MnA2y31tvfPlcC9M/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1MzQ3/NTUxLTE1OTAwOTU3/NTAtNTA1MS5qcGVn.jpeg
4943665,https://i.discogs.com/emTWIio12rhIfvPU-KHso4hktvCQ9ETbjPJlUU8pMfc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5NDM2/NjUtMTM4MTM3OTgz/OC0yNjk3LmpwZWc.jpeg
109261,https://i.discogs.com/BjGrwQnZmbDrI4_IeckleSZgQpS8ZlIv2qPhAW3dKOY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwOTI2/MS0xMjAzMDcyNTk4/LmpwZWc.jpeg
3960,https://i.discogs.com/I4dBH7IIXisCkXAFz4MHoBD6wxuHJ1MQfWL2x-gRsN0/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NjAt/MTYzNTAwNDkxMC04/MzMzLmpwZWc.jpeg
742659,https://i.discogs.com/5mRCCUyxw5ozEoZYUmkcjVvmg-xxYpENJdrWrybk3OI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc0MjY1/OS0xMTU0NDIwMTU2/LmpwZWc.jpeg
7678117,https://i.discogs.com/rIVt-KB72iKk2V6Pk-JqkucjK9SpGL8gtSdl5Crr0qY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc2Nzgx/MTctMTQ0NjY1Mzcw/Mi0yNjg3LmpwZWc.jpeg
309483,https://i.discogs.com/apDbT_p_4WnkLbVKjKK4RRYJ_0fxSyZIIniO9Rj05Ew/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwOTQ4/My0xMjc3MDUyNzI2/LmpwZWc.jpeg
24443,https://i.discogs.com/-MlNrZtQBHd78RvwiZ7tR0H9vYEQNQBD1eSPlyspEzw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NDQz/LTEyOTIwNTc3Njcu/anBlZw.jpeg
264438,https://i.discogs.com/QeDoywZqc4WgwfYaIIKrxQynOhlg974Y84KShl3xTf4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2NDQz/OC0xMTg5MDE4MzA1/LmpwZWc.jpeg
2028303,https://i.discogs.com/bKFk1w5RTDQE4p61Riok7GYNCC_7bKSVhMT5kV6-wUs/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIwMjgz/MDMtMTI1OTQ0OTk0/NC5qcGVn.jpeg
